HS_2,HS_4,HS6 Code,Description,ROC Export to Japan Baseline,BC Export to Japan Baseline,AB Export to Japan Baseline,SK Export to Japan Baseline,MB Export to Japan Baseline,Western Canada Exports to Japan Baseline,Total CDN export to Japan Baseline,ROC Gain - No Export Promotion ,ROC Gain %,BC Gain - no export promotion,BC%,AB Gain - no export promotion,AB%,SK Gain - no export promotion,SK%,MB Gain - no export promotion,MB%,Western Canada Gain - no export promotion,Western Canada Gain %,Total Canada Gain - no export promotion,Total Canada Gain %,West Exports to Japan as % of total West Exports (Pre-TPP),West Exports to Japan as % of total West Exports (Post-TPP),Canada export change with China,Canada export change with EU,Canada export change with USA,Australia's export to Japan Change,Brunei's export to Japan  Change,Chile's export to Japan Change,Japan's export to Japan Change (internal trade change),Malaysia's export to Japan Change,Mexico's export to Japan Change,New Zealand's export to Japan Change,Peru's export to Japan Change,Singapore's export to Japan Change,Vietnam's export to Japan Change,China's export to Japan Change,EU's export to Japan Change,USA's export to Japan Change,ROW's export to Japan Change,Japan Rate for Canada TPP,Japan Rate for China  ,Japan Rate for EU28 ,Japan Rate for USA (OLD),Japan Rate for ROW
'02,'0202,'020220,*Frozen bone-in beef,168.102020636415,1.18275375479741,113.09087618448,0,0,114.273629939277,282.375650575692,809.396412726116,481.491185924973%,6.14567621388835,519.607415234207%,530.2783860135,468.895815386982%,0,0,0,0,536.424062227389,469.420690068595%,1345.8204749535,476.606418510137%,0.185401667969557%,1.04835596513779%,0.274027164292804,0.260039041932473,54.2412848962154,-92.5499313813773,0,0,-920.660730582335,0,-12.1434300359387,1646.71601721125,0,0,0,0,-14.1098706987611,-710.797262843052,-61.3858701329183,1.09,1.38499999046326,1.38499999046326,1.38499999046326,1.38499999046326
'39,'3901,'390190,Ethylene polymers,1583.18419565487,0,4624.0331452859,0,0,4624.0331452859,6207.21734094077,313.187329663386,19.7821157211488%,0,0,905.546085863029,19.5834687471091%,0,0,0,0,905.546085863029,19.5834687471091%,1218.73341552641,19.6341347271353%,0.332132294285049%,0.396501747872602%,-105.036826149104,-17.9727507405714,-2963.1946069996,-0.00491453777816009,0,0,-536.494661480887,-0.00335830958842109,0.00548809103682313,0.437893835264785,0,-61.1457014481784,-0.00636729824982574,-1.74188284437923,-17.9930039161445,-25.365599294295,-129.550077125721,1,1.00559999980032,1.02800000086427,1.02800000086427,1.02800000086427
'19,'1905,'190531,Sweet biscuits,1683.68795828348,50.5917697602932,0,0,0,50.5917697602932,1734.27972804377,1167.03657762431,69.3143032758936%,35.2258894254503,69.6277074163498%,0,0%,0,0,0,0,35.2258894254503,69.6277074163498%,1202.26246704976,69.3234457861008%,0.193853829265801%,0.328160146302862%,-0.203526796599069,-0.528273505268719,-257.214885336907,0,0,0,-325.132002521977,0,0,0,0,0,0,-1.58702359722292,-49.1973516434477,0,-0.00198799778565565,1,1.2039999961853,1.2039999961853,1.2039999961853,1.2039999961853
'28,'2849,'284990,Carbides,6096.46881202545,1227.502662089,0.268102858230931,0,0,1227.77076494723,7324.23957697268,906.139306164631,14.8633468669149%,197.88760786472,16.1211550880019%,0.0462255164835334,17.241709688793%,0,0,0,0,197.933833381203,16.1213997785417%,1104.07313954583,15.0742357338641%,19.5647989189902%,22.2183184977111%,-0.935361230586757,-42.7916387831773,-179.93377707387,0,0,0,-380.76867323264,0,0,0,0,-0.0101328858829204,-0.0662864031082435,-117.75384575862,-69.2628401500988,-2.39489774001345,-26.1974798896899,1,1,1.02500000037253,1.02500000037253,1.02500000037253
'44,'4418,'441890,Builders' wood joinery and carpentry (excl. windows etc.),1864.31040590343,3103.9476862198,432.726513117991,0,0,3536.67419933779,5400.98460524122,378.757336726931,20.3162164158703%,617.845492060764,19.9051515849875%,86.2111726553048,19.9227849558175%,0,0,0,0,704.056664716069,19.9073090998288%,1082.814001443,20.0484556166336%,6.35585167356299%,7.55389490327519%,-0.542184953127819,-6.14013995241598,-385.451799669364,-0.0172946394494016,0,0,-607.50380167109,-0.943676282400645,0,1814.69209481427,0,-0.00130511907522601,-23.2307957850862,-77.6256298219232,-325.313189052074,-12.1628457058232,-630.275237362483,1,1.01480000000447,1.02800000086427,1.02800000086427,1.02800000086427
'28,'2803,'280300,Carbon blacks,295.648179502871,0,3658.60811687481,0,0,3658.60811687481,3954.25629637768,84.3879659070533,28.5433741039605%,0,0,992.843187167021,27.1371831978307%,0,0,0,0,992.843187167021,27.1371831978307%,1077.23115307407,27.242319979635%,5.97854271326364%,7.54222210288691%,-75.90571048539,-173.98290003831,-270.294818631269,0,0,0,-411.382240784122,-0.0438363503338053,-1.61680437082464,0,0,-0.347994338460296,-0.00646829593899412,-73.847944236215,-22.0072905412344,-29.2530490743884,-83.8432725538587,1,1,1.03900000080466,1.03900000080466,1.03900000080466
'21,'2106,'210610,*Protein textured and concentrates,34.1424712510612,1.53858000924072,0.79146773448329,0,155.926648417577,158.256696161301,192.399167412362,197.553140077877,578.61406289311%,8.89942599428209,578.418147956693%,4.58181652594285,578.90123959811%,0,0,839.253076302038,538.235821021748%,852.734318822263,538.829850177794%,1050.28745890014,545.889814922691%,1.06384569059424%,6.45551657189048%,-1.79896905767438,-8.4944832391576,-113.83056484451,-3.1902807636568,0,0,-343.235006818955,0,0,3.46938544543583,-0.00667671203416109,0,-0.0141958580624166,-17.5658986765766,-4.505740267801,-76.2155018614139,-1.84938147771834,1.016,1.64121186733246,1.64121186733246,1.64121186733246,1.64121186733246
'63,'6309,'630900,"Worn clothing, blankets, rugs",1776.12362104486,167.122241918072,0,0,0,167.122241918072,1943.24586296294,911.562952253952,51.3231703836974%,86.335343944341,51.6599962718697%,0,0%,0,0,0,0,86.335343944341,51.6599962718697%,997.898296198293,51.35213794701%,0.52652001311889%,0.797236348625672%,-0.0838914153828133,-12.2523494076017,-1.78417948263171,-0.00906194559084605,0,0,-516.707971938333,-3.39020757650667,-2.28493836618827,0.726140623374663,0,-0.00893710562567973,0.0348310948234669,-4.617648287816,-16.8052059815032,-98.4910397728418,-32.4969406703376,1,1,1.05799999833107,1.05799999833107,1.05799999833107
'42,'4202,'420221,Handbags,645.267613322851,0,0,0,0,0,645.267613322851,950.431825892011,147.292659087242%,0,0,0,0%,0,0,0,0,0,0%,950.431825892011,147.292659087242%,0%,0%,-2.3394052231937,-3.69686811071594,-6.57171398988376,-0.00180269968712743,0,0,-76.8784250521276,-0.0911719088382625,3.00124501464306,10.1895567226804,0.0185915437718531,-0.0197058672824824,-1201.46304400121,3.90309015411913,222.147724589566,-0.301094168298846,2.12675231773756,1,1.11999999731779,1.11999999731779,1.11999999731779,1.11999999731779
'03,'0302,'030214,Fresh/chilled Atlantic salmon,66.363250049133,9820.30008298086,1.11593663798726,0,0,9821.41601961884,9887.77926966798,5.93592766314738,8.94460060161705%,869.738889366041,8.8565408594117%,0.100046938098113,8.96528841266126%,0,0,0,0,869.838936304139,8.85655321561153%,875.774863967286,8.85714415828271%,2.88928153844378%,3.13973438974874%,-9.73633002254531,-0.0616591829400353,-349.752188259955,-0.831724403366025,0,-0.0596447989405533,-103.384571276605,0,0,1.02202901952338,0,0,0,0,-0.84127764706227,-0.00114614233024746,-19.7129508106154,1,1.03500000014901,1.03500000014901,1.03500000014901,1.03500000014901
'03,'0303,'030312,Frozen Pacific salmon,0,6200.64514016212,0,0,0,6200.64514016212,6200.64514016212,0,0%,843.746333652489,13.6073959173614%,0,0%,0,0,0,0,843.746333652489,13.6073959173614%,843.746333652489,13.6073959173614%,17.9272911107039%,19.9650714654747%,-50.5717843973941,-69.8326933226786,-115.903036193644,0,0,-61.6400300611858,-321.075113589875,0,0,270.596737644375,0,0,0,0,0,-2.46040515112509,-5.31783087629083,1,1.03500000014901,1.03500000014901,1.03500000014901,1.03500000014901
'03,'0303,'030311,Frozen sockeye salmon,0,5931.06718047723,0,0,0,5931.06718047723,5931.06718047723,0,0%,826.937197242326,13.9424689028019%,0,0%,0,0,0,0,826.937197242326,13.9424689028019%,826.937197242326,13.9424689028019%,45.3657678033871%,48.6711982468776%,-3.96247605389603,-11.888576274539,-20.8604553299792,0,0,0,-229.912037665024,0,0,0,0,0,0,-0.00726726422594837,0,-29.8666655388515,-41.7483254878025,1,1.03500000014901,1.03500000014901,1.03500000014901,1.03500000014901
'81,'8112,'811292,Unwrought hafnium,3.32886283656513,10720.900270504,0,0,0,10720.900270504,10724.2291333406,0.395898698093278,11.8929111090015%,823.278300801532,7.67918999364804%,0,0%,0,0,0,0,823.278300801532,7.67918999364804%,823.674199499625,7.68049795708766%,50.7236845133118%,53.5265728746207%,-8.51076095985964,-9.59514398075513,-303.436750479007,0,0,-0.0328159574201514,-281.492974307213,-0.19943949914736,0,0,-1.4534971234865,-0.217639887295206,0,-55.7762076422005,-28.8576960417267,-16.8120632609325,-123.106267269977,1,1.0082499999553,1.01374999992549,1.01374999992549,1.01374999992549
'44,'4409,'440910,Coniferous wood parquet flooring,14.7779135553532,3727.07742226459,4.04389671297028,0,0,3731.12131897756,3745.89923253292,3.28013149077568,22.1961745715278%,805.888920569965,21.6225430616438%,0.895061946683977,22.1336500463323%,0,0,0,0,806.783982516649,21.6230970141097%,810.064114007425,21.6253578572554%,4.23632666027079%,5.11298907645864%,-0.610449825722686,-3.49254957980263,-387.137724457248,-2.00174588097366,0,-2.44496939466183,-180.720105363245,-0.229281937813312,0,75.9603151800955,0,0,-6.61145971364249,-84.0726842919175,-114.627918328268,-9.62694360171054,-130.110296532239,1,1.01844999939203,1.03074999898672,1.03074999898672,1.03074999898672
'28,'2825,'282560,Germanium oxides / zirconium dioxide,0,8022.56856799344,0,0,0,8022.56856799344,8022.56856799344,0,0%,790.803440270819,9.857235043472%,0,0%,0,0,0,0,790.803440270819,9.857235043472%,790.803440270819,9.857235043472%,37.3028144867586%,40.222975238461%,-57.1230614658952,-53.7645405848578,-168.669489752215,-11.3321583981683,0,0,-350.277310048725,0,0,0,0,0,0,-70.7939187865413,-1.45897131141783,-22.6692600061579,-10.386996339364,1,1,1.01950000040233,1.01950000040233,1.01950000040233
'21,'2103,'210330,Mustard flour and meal,563.326660231233,5.54096406886346,1784.28636622843,0,1.71258779038358,1791.53991808768,2354.86657831891,204.476877166653,36.2981004809394%,2.02035189059902,36.4621005566894%,577.465842152875,32.3639665180822%,0,0,0.623997001213168,36.4359132254124%,580.110191044687,32.3805339299337%,784.58706821134,33.3176866763908%,33.2587930123141%,40.4437604998725%,-2.54469974035356,-6.4003716331817,-110.047371383055,-0.996681567091486,0,0,-231.789591766108,0,0,0.731500601326983,0,0,0,-0.697601491911058,-42.0274052102632,-14.2801267555906,-4.37088993822306,1,1.08250000327826,1.08250000327826,1.08250000327826,1.08250000327826
'23,'2309,'230910,"*Dog or cat food, put up for retail sale",15259.1044397586,400.886855253297,5233.96027577736,0,0,5634.84713103066,20893.9515707892,570.773009621791,3.74054068425277%,15.1481179434817,3.7786516931094%,195.52640989646,3.73572590532166%,0,0,0,0,210.674527839942,3.73877982740248%,781.447537461733,3.74006580236471%,2.65148920481761%,2.74841220410286%,-2.08549912465346,-24.4963959031725,-60.9599631593023,-7.41183395396365,0,0,-272.740035268944,0,-0.00173514045273215,214.354765956922,0,0,-0.44020343487955,-14.4030963533151,-19.3589493108157,-11.4628496638179,-37.2976050417055,1,1.00466210301965,1.00932420603931,1.00932420603931,1.00932420603931
'27,'2710,'271019,Medium oils not containing biodiesel,1348.86855265397,16.1466789470506,10237.9017183332,0,0,10254.0483972803,11602.9169499342,88.0662141799433,6.52889519936306%,1.054747278206,6.53228618507129%,666.558991557149,6.51069926138799%,0,0,0,0,667.613738835355,6.51073325353555%,755.679953015298,6.51284462584713%,1.07225275913354%,1.14139887301401%,0.0550434039763368,1.41861152670355,-83.2503240879887,0.134053297727405,0,0,-1754.92966948822,24.1481641496066,0.000900806361109119,0.355282266980688,0.0000359437869545953,11.2476625488489,0.251975399191906,3.96886712990818,1.28621527418727,2.00892909041431,67.2123504336923,1,1.01090631261468,1.01516437716782,1.01516437716782,1.01516437716782
'64,'6403,'640399,"Rubber soled footwear, leather uppers",47.8055458686578,2.71675819327752,0,0,0,2.71675819327752,50.5223040619353,712.689090709901,1490.80839421427%,40.8638816950965,1504.14128854795%,0,0%,0,0,0,0,40.8638816950965,1504.14128854795%,753.552972404998,1491.52534983602%,4.88525596435316%,42.596286791371%,0.750381198475663,4.30560262919668,31.8020430941989,0.000218708012407198,0,0,269.4818058823,-0.00677491613633219,416.391409620563,19.725417712639,0.320955274453918,0.00943017875289698,-5276.54335255132,581.29756167694,476.91437879228,16.7992204011389,827.813984212407,1,1.39796966314316,1.39796966314316,1.39796966314316,1.39796966314316
'62,'6202,'620213,Women's raincoats,624.567943810896,0.0340435888316747,0,0,0,0.0340435888316747,624.601987399728,744.607059324576,119.219544759413%,0.0482742324974309,141.801244093618%,0,0%,0,0,0,0,0.0482742324974309,141.801244093618%,744.655333557073,119.220775562553%,0.00169678186458789%,0.00398285042651542%,7.6680323396556,40.3939023724836,114.192144916436,-0.00120805775696153,0,0,-149.026337108109,-2.3107976076342,0,4.58679690041878,0,-0.00372548785801741,-1673.39122827394,627.629389316717,-14.4604775232656,-0.275585325127736,16.512275165107,1,1.10950000584126,1.10950000584126,1.10950000584126,1.10950000584126
'09,'0901,'090122,*Roasted decaf coffee,15.0034730261635,1458.76190200051,0,0,0,1458.76190200051,1473.76537502667,8.22833863637595,54.8428928557218%,735.703956279632,50.4334501244314%,0,0%,0,0,0,0,735.703956279632,50.4334501244314%,743.932294916008,50.4783398716058%,23.2300971794047%,31.8877070260611%,-0.156445808185943,-11.0175896459869,-22.9187768982087,0,0,0,-223.98847523834,0,-0.0348121288416454,0,-0.0317401889110149,0,-0.0855709044039052,0,-17.3134818696612,-29.0169066311523,-2.60823147448181,1,1.10000000149012,1.11999999731779,1.11999999731779,1.11999999731779
'44,'4407,'440799,Wood sawn lengthwise,3816.0468973068,563.157349226331,0,0,0,563.157349226331,4379.20424653313,640.065492519517,16.7729985963025%,94.4019178580525,16.7629736143446%,0,0%,0,0,0,0,94.4019178580525,16.7629736143446%,734.467410377569,16.771709402662%,5.91089631315234%,6.84993695279186%,-23.9506872596439,-25.0526094154276,-138.399528287744,0.101604510091931,0,-0.0591090491213144,-155.483459366005,-49.590683792645,-0.396265485542692,1.03385065350437,-0.0332702599400099,0,-3.80245849425637,-46.7283658227952,-5.41698835782267,-150.545236937949,-36.7705737175675,1,1.00719999987632,1.02400000020862,1.02400000020862,1.02400000020862
'20,'2005,'200520,"*Potatoes, prepared or preserved ",1219.12445261909,115.72215686092,11.1955980888981,0,0,126.917754949818,1346.04220756891,659.174269817222,54.0694814545877%,62.7599285295724,54.2332862020537%,6.07979751812466,54.3052498834659%,0,0,0,0,68.839726047697,54.2396342221113%,728.013995864919,54.0855250876411%,1.2125076384769%,1.85810612028809%,-0.509558827547437,-2.52100074335031,-102.079166104001,-0.00436091618541612,0,0,-223.520091060374,-0.816167804860129,-0.0498179077319136,0,-0.00314057909463705,0,0,-24.4979289568219,-9.06463597372158,-30.1074463330278,-0.0000212330256820223,1,1.10733333975077,1.11533333361149,1.11533333361149,1.11533333361149
'15,'1517,'151710,*Margarine,0,1.14114935136233,291.173043587959,0,0,292.314192939321,292.314192939321,0,0%,3.80893155173262,333.78028451626%,703.303853272506,241.54153990565%,0,0,0,0,707.112784824238,241.901625683643%,707.112784824238,241.901625683643%,15.2396809863969%,42.9470345684366%,-2.78964407814634,-0.0646593159026902,-274.158477001665,-2.34094420005049,0,0,-296.943722336811,-2.78155484303091,0,0,0,-0.737983455935856,0,0,-2.25956752568342,-112.587400144686,-16.4440910568235,1,1.29800000786781,1.29800000786781,1.29800000786781,1.29800000786781
'21,'2104,'210410,*Soups and broths,182.821121780191,1885.4511578542,20.1325924210851,0,0,1905.58375027529,2088.40487205548,62.4515836704033,34.1599389951725%,633.778912482173,33.6141782215915%,6.89479433437848,34.2469275201611%,0,0,0,0,640.673706816552,33.620863251169%,703.125290486955,33.6680544991697%,49.3307726041956%,56.6042343822738%,-0.0402555403643845,0.0596836447528908,15.7826968187955,-42.7912227474426,0,0,-1030.79593906022,-0.132761939562741,0,1720.74011872634,0,-9.16875797059106,-4.612838734511,-19.1766980753991,-20.9883999685717,-44.6421635909537,-37.5204084923971,1,1.07699999958277,1.07699999958277,1.07699999958277,1.07699999958277
'03,'0303,'030351,Frozen herrings,60.1409612757824,3135.67060106509,0,0,0,3135.67060106509,3195.81156234087,15.5327757679094,25.8272821691065%,651.801903601525,20.7866828671394%,0,0%,0,0,0,0,651.801903601525,20.7866828671394%,667.334679369434,20.8815403021017%,35.4825384439733%,40.641034695816%,-78.1861445492128,-1.33278715047007,-72.5056385296383,0,0,0,-187.262589422287,0,0,0,0,0,0,0,-0.813648456088629,-36.7452505699111,-20.7778639140961,1,1.0599999986589,1.0599999986589,1.0599999986589,1.0599999986589
'61,'6110,'611011,Wool sweaters,13.1784891143834,553.311056271082,0,0,0,553.311056271082,566.489545385466,15.9679139192134,121.16649929001%,650.066291970773,117.486589975583%,0,0%,0,0,0,0,650.066291970773,117.486589975583%,666.034205889987,117.572197283321%,38.917603472646%,57.0455598978665%,0.145700447752787,2.5635731221996,0.930568391828121,0.058910115718195,0,0,-1547.37951176445,-0.000175316014857319,0.0854152572261064,7.74951322776224,-0.22209628920541,0,-1331.81035323656,805.47139268188,173.71461977053,1.09731510252891,157.132280214108,1,1.1089999973774,1.1089999973774,1.1089999973774,1.1089999973774
'07,'0709,'070959,*Fresh or chilled mushrooms,0,6305.97868684404,4.47337129681312,0,0.401636181214787,6310.85369432207,6310.85369432207,0,0%,634.283317124571,10.058443718623%,0.462046717506683,10.3288255512314%,0,0,0.0415709065121916,10.3503888485486%,634.78693474859,10.0586539554817%,634.78693474859,10.0586539554817%,5.81202959483517%,6.37521698429776%,-0.152840261174262,-4.89580815376265,-256.351264978348,-0.495637568804682,0,-0.000289380139823547,-172.130665769277,-0.007620848791694,-0.282131148776614,0.103801379145428,0,0,0,-25.47144079188,-7.04119337556585,-3.62736373091502,-1.28032732710699,1.009,1,1.03649999946356,1.03649999946356,1.03649999946356
'03,'0303,'030391,"Frozen fish livers, roes and milt",3347.43367151195,2520.448005945,0,0,0,2520.448005945,5867.88167745696,337.425086841883,10.0801127058472%,297.01366456786,11.7841615406186%,0,0%,0,0,0,0,297.01366456786,11.7841615406186%,634.438751409743,10.8120576774257%,71.2323503014747%,73.9727908820439%,-70.7265169048939,-7.06510237007998,-6.66678161000105,-0.0889785235119689,0,-0.0429355145333261,-188.449515157379,0,0,31.0930115255833,-0.00108496044125861,0,0,-0.0779470743168531,-0.463468985338523,-22.0507891921734,-26.9762180647522,1,1.03900000080466,1.03900000080466,1.03900000080466,1.03900000080466
'44,'4418,'441899,Builders' wood joinery and carpentry (excl. bamboo etc.),875.889986736091,1485.56700546576,371.86043362922,0,0,1857.42743909498,2733.31742583107,204.238312613375,23.3178042569532%,341.676922529157,22.9997651584914%,84.391195895633,22.6943197672326%,0,0,0,0,426.06811842479,22.9386144221273%,630.306431038165,23.0601255851768%,4.15257695826002%,5.0709675602087%,-0.154904545646576,-1.00619540758378,-222.872507239021,0,0,0,-410.119924084633,-0.0338246257928709,0,1337.41072679215,0,-0.00135287812668661,-16.6000423639416,-40.0719879025128,-225.371802895854,-5.43143577845467,-438.083425983961,1,1.01766666583717,1.0316666662693,1.0316666662693,1.0316666662693
'03,'0308,'030821,"Live, fresh or chilled, sea urchins",182.693747199118,8568.75692422542,5.10653832475121,0,2.58975043657543,8576.45321298674,8759.14696018586,16.1683454355993,8.84997197959787%,594.093964665759,6.93325729647142%,0.445161453349514,8.7174799255267%,0,0,0.213768972568691,8.25442365216357%,594.752895091677,6.93471858729531%,610.921240527277,6.9746659498257%,58.9843027985146%,61.0334129882746%,-14.5203670282079,-5.25784297979067,-17.3447619604456,-0.0118678885447849,0,-0.389937830258532,-74.1864726605127,0,-0.370920153151019,0,-0.144061439360939,0,0,-1.27631905570797,0,-2.13757531829106,-9.51835549017414,1,1.03500000014901,1.03500000014901,1.03500000014901,1.03500000014901
'09,'0901,'090121,*Roasted coffee,825.906044465713,100.309553837057,0,0,0,100.309553837057,926.21559830277,472.699870807629,57.2340975072319%,57.4117356461264,57.2345638575822%,0,0%,0,0,0,0,57.4117356461264,57.2345638575822%,530.111606453755,57.2341480131786%,0.931745984521752%,1.45754042758335%,-0.0118206184398364,-0.166227914377042,-85.6373203123559,-0.0602497640437463,0,0,-153.119493539212,0,-0.760877829672381,1.03090379386913,-1.02564399723451,0,-0.578595231654617,-0.143847508171177,-14.8883052391502,-14.8351939713211,-17.7671382866902,1,1.10000000149012,1.11999999731779,1.11999999731779,1.11999999731779
'62,'6210,'621040,Rubberised men's garments,116.112538107882,392.826303365343,0,0,0,392.826303365343,508.938841473225,125.027860328822,107.678173577307%,389.881217014934,99.2502828030662%,0,0%,0,0,0,0,389.881217014934,99.2502828030662%,514.909077343756,101.173075305718%,2.43655147374003%,4.6566317325289%,31.5904780809504,217.392177782713,276.058348256509,0,0,0,150.527700530976,0,0.125466669569923,0,0,0.00532833245204589,-1585.16785124257,432.802497985016,1.86391332794619,0.580866347061601,81.9328597959975,1,1.09549999982119,1.09549999982119,1.09549999982119,1.09549999982119
'03,'0306,'030616,Frozen cold-water shrimps / prawns,7054.95667143419,7220.43190893002,0,0,0,7220.43190893002,14275.3885803642,275.343622376892,3.90283931142724%,237.098088018763,3.28371060082329%,0,0%,0,0,0,0,237.098088018763,3.28371060082329%,512.441710395655,3.58968659599584%,24.5837248099281%,25.1682052712088%,-217.460838015479,-120.501236756402,-38.218905790171,0,0,0,-143.762712009251,0,0,0,0,0,0.31034959115226,-0.751759803634286,-0.719638926686912,-0.887070708777173,-31.7304316318477,1,1.00999999977648,1.00999999977648,1.00999999977648,1.00999999977648
'16,'1601,'160100,*Blood/offal sausages,120.710073380218,64.8660961602306,203.725805044992,0,0,268.591901205223,389.301974585441,157.733491706171,130.671357649941%,84.6219178518396,130.456313638497%,265.032936588318,130.092963201096%,0,0,0,0,349.654854440158,130.180713890177%,507.388346146329,130.332846805269%,6.26813286187398%,13.2963900723139%,0,-0.377244100084315,-10.6282012233416,-1.90710630254847,0,-0.0952754025144031,-195.689478608634,-0.0915597855509418,0,465.491059357359,0,0,0,-120.340172091666,-60.0162138062005,-134.142046522778,-129.289999675457,1,1.10000000149012,1.10000000149012,1.10000000149012,1.10000000149012
'39,'3901,'390140,"Ethylene-alpha-olefins copolymers specific gravity < 0,94",0,0,2543.07072250177,0,0,2543.07072250177,2543.07072250177,0,0%,0,0,504.012547919701,19.8190535347705%,0,0,0,0,504.012547919701,19.8190535347705%,504.012547919701,19.8190535347705%,0.392773161349189%,0.470393369425742%,-15.781262001283,-1.25454914394618,-355.025294996965,0,0,0,-175.059215592919,-0.245625190581109,0,0,0,-14.8825574292641,0,-0.00604918122276921,-3.22351905716005,-8.32429140688873,-73.7170255380916,1,1.00559999980032,1.02800000086427,1.02800000086427,1.02800000086427
'15,'1515,'151519,Linseed oil,0,458.219051372666,5.44041304424153,320.991844956542,1283.55989019708,2068.21119957053,2068.21119957053,0,0%,131.449195048843,28.6869772557615%,1.80386137548462,33.1566989641336%,100.371489280217,31.2691711198477%,253.637045504773,19.7604371593311%,487.261591209318,23.5595664171289%,487.261591209318,23.5595664171289%,32.8115289886911%,38.1627704105543%,-35.9291372647606,-8.78472024161654,-119.127345973976,-0.270100187776329,0,0,-137.1074255604,0,0,12.7163687554454,0,0,0,-4.94819578033253,-83.1769305846124,-42.1582675009806,-0.000205594197210161,1,1.05000000074506,1.05000000074506,1.05000000074506,1.05000000074506
'20,'2009,'200989,*Unfermented fruit / vegetables juice,545.886890855692,112.921676299433,0,0,0,112.921676299433,658.808567155126,403.318860879976,73.8832288585942%,83.5175460814144,73.9605971310165%,0,0%,0,0,0,0,83.5175460814144,73.9605971310165%,486.83640696139,73.8964900021948%,1.47207965782672%,2.52410464441492%,-1.19583937240819,-2.21361458805035,-33.8246188082981,-14.4352602701085,0,-50.1772432867983,-3603.53484694392,0,0,11859.4767232846,-0.0739534374876296,0,-29.6857357193926,-91.4260396563241,-221.98272527862,-560.7324530919,-84.6042472615991,1,1.14990909397602,1.15118181705475,1.15118181705475,1.15118181705475
'15,'1514,'151491,*Canola oil erucic acid >= 2%,15.4096819782554,666.807834026153,0,363.03084913989,0,1029.83868316604,1045.2483651443,7.59946513367862,49.3161711215211%,267.170060474111,40.0670248369686%,0,0%,182.657393930997,50.3145653775038%,0,0,449.827454405109,43.6794093830502%,457.426919538787,43.7625099251544%,3.16078838592666%,4.51259733957709%,-0.248995900117256,0,-103.568807163672,-0.784398014403999,0,0,-129.536531232688,0,0,0,0,0,0,0,-21.3890180706667,-15.8773966390098,-71.9395766445971,1,1.07303795963526,1.07303795963526,1.07303795963526,1.07303795963526
'29,'2932,'293299,Heterocyclic compounds,12.2604311270828,2136.14656304359,0,0,0,2136.14656304359,2148.40699417067,2.72760357881892,22.2472077086567%,433.07379233458,20.2735991915056%,0,0%,0,0,0,0,433.07379233458,20.2735991915056%,435.801395913399,20.28486209065%,17.7802514421335%,20.9107002657273%,-1.2141007984987,-110.655067072407,-9.50744526012912,-0.0314722855345479,0,0,-160.075308440952,0,-0.292383259036455,12.5984500285522,0,-4.59730353959458,-1.83242715928373,-21.5385842895266,-41.5166660066316,-8.32622256841933,-13.2760558168229,1,1,1.03099999949336,1.03099999949336,1.03099999949336
'76,'7616,'761699,Aluminium articles,175.924595429891,1163.23142427846,8.01327445053649,0,351.107836127965,1522.35253485696,1698.27713028686,43.5996330549679,24.783136745847%,284.517919581057,24.4592704119509%,1.98857432455444,24.8160017085313%,0,0,86.6037992758967,24.665869104765%,373.110293181509,24.5087970518317%,416.709926236477,24.5372159116392%,3.2408906437063%,4.002633950419%,-1.21960670969573,-7.50040713469552,-83.6830235360616,0.134981078781635,0,0,-177.892760489602,-0.434854136933154,-0.446284391027916,3.96140180750622,0,-0.73658220351922,-252.536287299979,7.01879540149821,-0.191211109464348,0.294558982219314,3.55419489841734,1,1.02400000020862,1.02999999932945,1.02999999932945,1.02999999932945
'02,'0207,'020742,*Frozen domestic ducks,334.623233964427,0,18.326859015358,0,0,18.326859015358,352.950092979785,345.041499165641,103.113431508561%,0,0,19.2846125283839,105.225955589135%,0,0,0,0,19.2846125283839,105.225955589135%,364.326111694025,103.223123875162%,48.571492842384%,66.0606005798804%,0,-0.037645293344413,-76.136726395011,0,0,0,-74.1577510123288,-0.849077606948391,0,0,0,0,0,0,-7.56981433904517,-8.69352064375673,-142.598040363259,1,1.04800000041723,1.09600000083447,1.09600000083447,1.09600000083447
'11,'1104,'110412,*Rolled or flaked oats,0,176.053523850841,445.894202890564,13.8536831509006,0,635.801409892306,635.801409892306,0,0%,97.5546976092587,55.4119539759458%,248.807751839358,55.7997278785935%,7.86992666373164,56.8074682956786%,0,0,354.232376112349,55.7143111985785%,354.232376112349,55.7143111985785%,0.620402114934632%,0.963576209911815%,-0.838494933505011,-0.52895350486896,-146.020040345449,-18.5685933770274,0,-0.370913215208958,-106.270339332681,0,-0.00149198624076208,0,0,0,0,-3.79350285235955,-4.19075545214196,-1.68121592131331,-1.62879607582204,1,1.0599999986589,1.11999999731779,1.11999999731779,1.11999999731779
